year,month,country,iso3c,sex,category,value
2010,4,algieria,DZA,m,temporary,3
2010,4,armenia,ARM,m,temporary,9
2010,4,australia,AUS,m,temporary,2
2010,4,bangladesz,BGD,m,temporary,1
2010,4,białoruś,BLR,m,temporary,9
2010,4,bułgaria,BGR,m,temporary,33
2010,4,chiny,CHN,m,temporary,1
2010,4,chorwacja,HRV,m,temporary,2
2010,4,czechy,CZE,m,temporary,4
2010,4,dania,DNK,m,temporary,1
2010,4,estonia,EST,m,temporary,1
2010,4,francja,FRA,m,temporary,2
2010,4,grecja,GRC,m,temporary,1
2010,4,gruzja,GEO,m,temporary,17
2010,4,holandia,NLD,m,temporary,7
2010,4,indie,IND,m,temporary,1
2010,4,irak,IRQ,m,temporary,1
2010,4,izrael,ISR,m,temporary,2
2010,4,kamerun,CMR,m,temporary,3
2010,4,kolumbia,COL,m,temporary,6
2010,4,kongo,COG,m,temporary,1
2010,4,kuba,CUB,m,temporary,1
2010,4,liban,LBN,m,temporary,2
2010,4,litwa,LTU,m,temporary,20
2010,4,łotwa,LVA,m,temporary,3
2010,4,maroko,MAR,m,temporary,1
2010,4,mołdawia,MDA,m,temporary,2
2010,4,niemcy,DEU,m,temporary,18
2010,4,nigeria,NGA,m,temporary,6
2010,4,pakistan,PAK,m,temporary,1
2010,4,paragwaj,PRY,m,temporary,1
2010,4,rep.południowej afryki,ZAF,m,temporary,1
2010,4,rosja,RUS,m,temporary,24
2010,4,rumunia,ROU,m,temporary,25
2010,4,słowacja,SVK,m,temporary,1
2010,4,słowenia,SVN,m,temporary,1
2010,4,szwecja,SWE,m,temporary,3
2010,4,tadżykistan,TJK,m,temporary,1
2010,4,turcja,TUR,m,temporary,2
2010,4,ukraina,UKR,m,temporary,30
2010,4,uzbekistan,UZB,m,temporary,1
2010,4,węgry,HUN,m,temporary,2
2010,4,wielka brytania,GBR,m,temporary,2
2010,4,wietnam,VNM,m,temporary,33
2010,4,włochy,ITA,m,temporary,3
2010,4,zambia,ZMB,m,temporary,1
2010,4,bezpaństwowiec,,m,temporary,1
2010,4,afganistan,AFG,m,convicted,1
2010,4,algieria,DZA,m,convicted,1
2010,4,armenia,ARM,m,convicted,25
2010,4,azerbejdżan,AZE,m,convicted,2
2010,4,białoruś,BLR,m,convicted,20
2010,4,bułgaria,BGR,m,convicted,18
2010,4,chiny,CHN,m,convicted,1
2010,4,chorwacja,HRV,m,convicted,1
2010,4,czechy,CZE,m,convicted,6
2010,4,dania,DNK,m,convicted,1
2010,4,francja,FRA,m,convicted,1
2010,4,grecja,GRC,m,convicted,2
2010,4,gruzja,GEO,m,convicted,5
2010,4,holandia,NLD,m,convicted,3
2010,4,iran,IRN,m,convicted,1
2010,4,kazachstan,KAZ,m,convicted,2
2010,4,litwa,LTU,m,convicted,11
2010,4,łotwa,LVA,m,convicted,3
2010,4,macedonia,MKD,m,convicted,1
2010,4,maroko,MAR,m,convicted,1
2010,4,mołdawia,MDA,m,convicted,6
2010,4,niemcy,DEU,m,convicted,17
2010,4,nigeria,NGA,m,convicted,2
2010,4,pakistan,PAK,m,convicted,4
2010,4,portugalia,PRT,m,convicted,1
2010,4,rosja,RUS,m,convicted,22
2010,4,rumunia,ROU,m,convicted,14
2010,4,serbia,SRB,m,convicted,1
2010,4,słowacja,SVK,m,convicted,1
2010,4,syria,SYR,m,convicted,1
2010,4,szwajcaria,CHE,m,convicted,1
2010,4,szwecja,SWE,m,convicted,1
2010,4,turcja,TUR,m,convicted,5
2010,4,turkmenistan,TKM,m,convicted,1
2010,4,ukraina,UKR,m,convicted,75
2010,4,usa,USA,m,convicted,1
2010,4,węgry,HUN,m,convicted,1
2010,4,wielka brytania,GBR,m,convicted,3
2010,4,wietnam,VNM,m,convicted,5
2010,4,bezpaństwowiec,,m,convicted,1
2010,4,nieustalone,,m,convicted,1
2010,4,armenia,ARM,m,punished,1
2010,4,macedonia,MKD,m,punished,1
2010,4,niemcy,DEU,m,punished,1
2010,4,rumunia,ROU,m,punished,1
2010,4,armenia,ARM,k,temporary,1
2010,4,bułgaria,BGR,k,temporary,7
2010,4,łotwa,LVA,k,temporary,1
2010,4,paragwaj,PRY,k,temporary,1
2010,4,rosja,RUS,k,temporary,2
2010,4,rumunia,ROU,k,temporary,2
2010,4,ukraina,UKR,k,temporary,4
2010,4,wietnam,VNM,k,temporary,2
2010,4,belgia,BEL,k,convicted,1
2010,4,białoruś,BLR,k,convicted,3
2010,4,litwa,LTU,k,convicted,1
2010,4,rosja,RUS,k,convicted,1
2010,4,rumunia,ROU,k,convicted,1
