year,month,country,iso3c,sex,category,value
2020,9,albania,ALB,m,temporary,1
2020,9,arabia saudyjska,SAU,m,temporary,1
2020,9,armenia,ARM,m,temporary,10
2020,9,australia,AUS,m,temporary,1
2020,9,bangladesz,BGD,m,temporary,2
2020,9,belgia,BEL,m,temporary,2
2020,9,białoruś,BLR,m,temporary,22
2020,9,bułgaria,BGR,m,temporary,19
2020,9,chiny,CHN,m,temporary,10
2020,9,czechy,CZE,m,temporary,5
2020,9,egipt,EGY,m,temporary,3
2020,9,estonia,EST,m,temporary,1
2020,9,francja,FRA,m,temporary,1
2020,9,grecja,GRC,m,temporary,1
2020,9,gruzja,GEO,m,temporary,67
2020,9,holandia,NLD,m,temporary,3
2020,9,indie,IND,m,temporary,8
2020,9,irak,IRQ,m,temporary,2
2020,9,iran,IRN,m,temporary,3
2020,9,jordania,JOR,m,temporary,1
2020,9,kamerun,CMR,m,temporary,3
2020,9,kanada,CAN,m,temporary,1
2020,9,kazachstan,KAZ,m,temporary,3
2020,9,kirgistan,KGZ,m,temporary,2
2020,9,kolumbia,COL,m,temporary,4
2020,9,kostaryka,CRI,m,temporary,1
2020,9,liban,LBN,m,temporary,1
2020,9,litwa,LTU,m,temporary,17
2020,9,łotwa,LVA,m,temporary,5
2020,9,mołdawia,MDA,m,temporary,23
2020,9,mongolia,MNG,m,temporary,1
2020,9,niemcy,DEU,m,temporary,6
2020,9,nigeria,NGA,m,temporary,10
2020,9,norwegia,NOR,m,temporary,1
2020,9,pakistan,PAK,m,temporary,1
2020,9,panama,PAN,m,temporary,1
2020,9,peru,PER,m,temporary,1
2020,9,republika bośni i hercegowiny,BIH,m,temporary,2
2020,9,republika południowej afryki,ZAF,m,temporary,1
2020,9,rosja,RUS,m,temporary,21
2020,9,rumunia,ROU,m,temporary,18
2020,9,serbia,SRB,m,temporary,5
2020,9,słowacja,SVK,m,temporary,1
2020,9,stany zjednoczone ameryki,USA,m,temporary,1
2020,9,szwecja,SWE,m,temporary,2
2020,9,tajwan,TWN,m,temporary,1
2020,9,turcja,TUR,m,temporary,4
2020,9,ukraina,UKR,m,temporary,221
2020,9,uzbekistan,UZB,m,temporary,3
2020,9,węgry,HUN,m,temporary,1
2020,9,wielka brytania,GBR,m,temporary,4
2020,9,wietnam,VNM,m,temporary,32
2020,9,włochy,ITA,m,temporary,3
2020,9,bezpaństwowiec,,m,temporary,1
2020,9,nieustalone,,m,temporary,3
2020,9,albania,ALB,m,convicted,2
2020,9,algieria,DZA,m,convicted,3
2020,9,armenia,ARM,m,convicted,21
2020,9,azerbejdżan,AZE,m,convicted,2
2020,9,belgia,BEL,m,convicted,1
2020,9,białoruś,BLR,m,convicted,23
2020,9,bułgaria,BGR,m,convicted,30
2020,9,chiny,CHN,m,convicted,6
2020,9,czechy,CZE,m,convicted,5
2020,9,dania,DNK,m,convicted,1
2020,9,estonia,EST,m,convicted,1
2020,9,francja,FRA,m,convicted,1
2020,9,gruzja,GEO,m,convicted,37
2020,9,holandia,NLD,m,convicted,4
2020,9,indie,IND,m,convicted,2
2020,9,izrael,ISR,m,convicted,2
2020,9,kamerun,CMR,m,convicted,1
2020,9,kanada,CAN,m,convicted,1
2020,9,kazachstan,KAZ,m,convicted,1
2020,9,kirgistan,KGZ,m,convicted,1
2020,9,korea południowa,KOR,m,convicted,1
2020,9,libia,LBY,m,convicted,1
2020,9,litwa,LTU,m,convicted,14
2020,9,łotwa,LVA,m,convicted,5
2020,9,macedonia,MKD,m,convicted,1
2020,9,maroko,MAR,m,convicted,1
2020,9,meksyk,MEX,m,convicted,1
2020,9,mołdawia,MDA,m,convicted,13
2020,9,niemcy,DEU,m,convicted,22
2020,9,nigeria,NGA,m,convicted,8
2020,9,norwegia,NOR,m,convicted,1
2020,9,nowa zelandia,NZL,m,convicted,1
2020,9,pakistan,PAK,m,convicted,1
2020,9,palestyna,PSE,m,convicted,1
2020,9,portugalia,PRT,m,convicted,1
2020,9,rosja,RUS,m,convicted,42
2020,9,rumunia,ROU,m,convicted,26
2020,9,serbia,SRB,m,convicted,6
2020,9,słowacja,SVK,m,convicted,8
2020,9,słowenia,SVN,m,convicted,1
2020,9,syria,SYR,m,convicted,1
2020,9,tanzania,TZA,m,convicted,1
2020,9,tunezja,TUN,m,convicted,1
2020,9,turcja,TUR,m,convicted,2
2020,9,turkmenistan,TKM,m,convicted,2
2020,9,ukraina,UKR,m,convicted,218
2020,9,węgry,HUN,m,convicted,2
2020,9,wielka brytania,GBR,m,convicted,1
2020,9,wietnam,VNM,m,convicted,16
2020,9,włochy,ITA,m,convicted,5
2020,9,bezpaństwowiec,,m,convicted,8
2020,9,nieustalone,,m,convicted,12
2020,9,rumunia,ROU,m,punished,1
2020,9,ukraina,UKR,m,punished,11
2020,9,białoruś,BLR,k,temporary,1
2020,9,brazylia,BRA,k,temporary,1
2020,9,bułgaria,BGR,k,temporary,2
2020,9,chiny,CHN,k,temporary,1
2020,9,hiszpania,ESP,k,temporary,2
2020,9,litwa,LTU,k,temporary,1
2020,9,nigeria,NGA,k,temporary,1
2020,9,rosja,RUS,k,temporary,2
2020,9,ukraina,UKR,k,temporary,12
2020,9,wietnam,VNM,k,temporary,3
2020,9,armenia,ARM,k,convicted,1
2020,9,białoruś,BLR,k,convicted,2
2020,9,brazylia,BRA,k,convicted,1
2020,9,bułgaria,BGR,k,convicted,2
2020,9,gruzja,GEO,k,convicted,1
2020,9,holandia,NLD,k,convicted,1
2020,9,kongo,COG,k,convicted,1
2020,9,niemcy,DEU,k,convicted,1
2020,9,rosja,RUS,k,convicted,1
2020,9,rumunia,ROU,k,convicted,3
2020,9,słowacja,SVK,k,convicted,1
2020,9,ukraina,UKR,k,convicted,10
2020,9,wielka brytania,GBR,k,convicted,1
2020,9,wietnam,VNM,k,convicted,2
2020,9,włochy,ITA,k,convicted,2
2020,9,ukraina,UKR,k,punished,1
2020,10,albania,ALB,m,temporary,1
2020,10,arabia saudyjska,SAU,m,temporary,1
2020,10,armenia,ARM,m,temporary,10
2020,10,australia,AUS,m,temporary,1
2020,10,bangladesz,BGD,m,temporary,2
2020,10,białoruś,BLR,m,temporary,36
2020,10,bułgaria,BGR,m,temporary,21
2020,10,chiny,CHN,m,temporary,8
2020,10,czechy,CZE,m,temporary,8
2020,10,egipt,EGY,m,temporary,3
2020,10,estonia,EST,m,temporary,1
2020,10,francja,FRA,m,temporary,1
2020,10,grecja,GRC,m,temporary,1
2020,10,gruzja,GEO,m,temporary,76
2020,10,holandia,NLD,m,temporary,3
2020,10,indie,IND,m,temporary,8
2020,10,irak,IRQ,m,temporary,3
2020,10,iran,IRN,m,temporary,2
2020,10,jordania,JOR,m,temporary,1
2020,10,kamerun,CMR,m,temporary,3
2020,10,kanada,CAN,m,temporary,1
2020,10,kazachstan,KAZ,m,temporary,3
2020,10,kirgistan,KGZ,m,temporary,1
2020,10,kolumbia,COL,m,temporary,4
